15574457;10;10;9.2;84;11;40;0;2
15574506;12;12;11;97;13;48;0;2
15574612;16;16;15;115;18;64;0;2
15574684;20;20;19;130;22;80;0;2
15574774;25;25;24;157;27;100;0;2
15574459;10;10;9.2;84;11;40;0;2
15574508;12;12;11;97;13;48;0;2
15574614;16;16;15;115;18;64;0;2
15574686;20;20;19;130;22;80;0;2
15574776;25;25;24;157;27;100;0;2
15575302;6;6;5.5;66;7;30;0;2
15575391;8;8;7.4;76;9;40;0;2
15575450;10;10;9.2;91;11;50;0;2
15575501;12;12;11;106;13;60;0;2
15575608;16;16;15;129;18;80;0;2
15575680;20;20;19;151;22;100;0;2
15575770;25;25;24;182;27;125;0;2
15575307;6;6;5.5;66;7;30;0;2
15575397;8;8;7.4;76;9;40;0;2
15575457;10;10;9.2;91;11;50;0;2
15575506;12;12;11;106;13;60;0;2
15575612;16;16;15;129;18;80;0;2
15575684;20;20;19;151;22;100;0;2
15575774;25;25;24;182;27;125;0;2
15575459;10;10;9.2;91;11;50;0;2
15575508;12;12;11;106;13;60;0;2
15575614;16;16;15;129;18;80;0;2
15575686;20;20;19;151;22;100;0;2
15575776;25;25;24;182;27;125;0;2
15582457;10;10;9.2;63;11;20;0;3
15582506;12;12;11;73;13;24;0;3
15582612;16;16;15;82;18;32;0;3
15582684;20;20;19;92;22;40;0;3
15582774;25;25;24;107;27;50;0;3
15582508;12;12;11;73;13;24;0;3
15582614;16;16;15;82;18;32;0;3
15582686;20;20;19;92;22;40;0;3
15582776;25;25;24;107;27;50;0;3
15583180;3;6;2.8;54;4;9;5.9;3
15583220;4;6;3.7;54;5;12;3.7;3
15583260;5;6;4.6;54;6;15;1.7;3
15583300;6;6;5.5;54;7;18;0;3
15583302;6;6;5.5;54;7;18;0;3
15583391;8;8;7.4;63;9;24;0;3
15583450;10;10;9.2;72;11;30;0;3
15583501;12;12;11;83;13;36;0;3
15583608;16;16;15;97;18;48;0;3
15583680;20;20;19;111;22;60;0;3
15583770;25;25;24;132;27;75;0;3
15583453;10;10;9.2;72;11;30;0;3
15583503;12;12;11;83;13;36;0;3
15583611;16;16;15;97;18;48;0;3
15583683;20;20;19;111;22;60;0;3
15583307;6;6;5.5;54;7;18;0;3
15583397;8;8;7.4;63;9;24;0;3
15583457;10;10;9.2;72;11;30;0;3
15583506;12;12;11;83;13;36;0;3
15583612;16;16;15;97;18;48;0;3
15583684;20;20;19;111;22;60;0;3
15583774;25;25;24;132;27;75;0;3
15583459;10;10;9.2;72;11;30;0;3
15583508;12;12;11;83;13;36;0;3
15583614;16;16;15;97;18;48;0;3
15583686;20;20;19;111;22;60;0;3
15583776;25;25;24;132;27;75;0;3
15584302;6;6;5.5;60;7;24;0;3
15584391;8;8;7.4;68;9;32;0;3
15584450;10;10;9.2;84;11;40;0;3
15584501;12;12;11;97;13;48;0;3
15584608;16;16;15;115;18;64;0;3
15584680;20;20;19;130;22;80;0;3
15584770;25;25;24;157;27;100;0;3
15584307;6;6;5.5;60;7;24;0;3
15584397;8;8;7.4;68;9;32;0;3
15584457;10;10;9.2;84;11;40;0;3
15584506;12;12;11;97;13;48;0;3
15584612;16;16;15;115;18;64;0;3
15584684;20;20;19;130;22;80;0;3
15584774;25;25;24;157;27;100;0;3
15584459;10;10;9.2;84;11;40;0;3
15584508;12;12;11;97;13;48;0;3
15584614;16;16;15;115;18;64;0;3
15584686;20;20;19;130;22;80;0;3
15584776;25;25;24;157;27;100;0;3
15585450;10;10;9.2;91;11;50;0;3
15585501;12;12;11;106;13;60;0;3
15585608;16;16;15;129;18;80;0;3
15585680;20;20;19;151;22;100;0;3
15585770;25;25;24;182;27;125;0;3
15585307;6;6;5.5;66;7;30;0;3
15585397;8;8;7.4;76;9;40;0;3
15585457;10;10;9.2;91;11;50;0;3
15585506;12;12;11;106;13;60;0;3
15585612;16;16;15;129;18;80;0;3
15585684;20;20;19;151;22;100;0;3
15585774;25;25;24;182;27;125;0;3
15585459;10;10;9.2;91;11;50;0;3
15585508;12;12;11;106;13;60;0;3
15585614;16;16;15;129;18;80;0;3
15585686;20;20;19;151;22;100;0;3
15585776;25;25;24;182;27;125;0;3
15589300;6;6;0;57;13;0;0;6
15589391;8;8;0;63;19;0;0;6
15589450;10;10;0;72;22;0;0;6
15589501;12;12;0;83;26;0;0;6
15589610;16;16;0;92;32;0;0;6
15589682;20;20;0;104;40;0;0;6
15590300;6;6;0;63;18;0;0;6
15590391;8;8;0;72;24;0;0;6
15590450;10;10;0;84;30;0;0;6
15590501;12;12;0;97;36;0;0;6
15590610;16;16;0;108;48;0;0;6
15590682;20;20;0;122;60;0;0;6
15620140;2;6;1.9;57;7;10;7;2
15620180;3;6;2.8;57;8;14;4.5;2
15620220;4;6;3.7;57;11;16;3;2
15620260;5;6;4.6;57;13;18;1.5;2
15620300;6;6;5.5;57;13;20;0;2
15620391;8;8;7.4;63;19;26;0;2
15620450;10;10;9.2;72;22;31;0;2
15620501;12;12;11;83;26;37;0;2
15620610;16;16;15;92;32;43;0;2
15620682;20;20;19;104;38;53;0;2
15625300;6;6;5.5;57;13;20;0;2
15625391;8;8;7.4;63;19;26;0;2
15625450;10;10;9.2;72;22;31;0;2
15625501;12;12;11;83;26;37;0;2
15625610;16;16;15;92;32;43;0;2
15625682;20;20;19;104;38;53;0;2
15630180;3;6;2.8;57;8;14;4.5;3
15630220;4;6;3.7;57;11;16;3;3
15630260;5;6;4.6;57;13;18;1.5;3
15630300;6;6;5.5;57;13;20;0;3
15630391;8;8;7.4;63;19;26;0;3
15630450;10;10;9.2;72;22;31;0;3
15630501;12;12;11;83;26;37;0;3
15630610;16;16;15;92;32;43;0;3
15630682;20;20;19;104;38;53;0;3
15635300;6;6;5.5;57;12;20;0;3
15635391;8;8;7.4;63;19;26;0;3
15635450;10;10;9.2;72;22;31;0;3
15635501;12;12;11;83;26;37;0;3
15635610;16;16;15;92;32;43;0;3
15635682;20;20;19;104;38;53;0;3
15650180;3;6;2.8;63;8;20;3.5;2
15650220;4;6;3.7;63;11;22;2.5;2
15650260;5;6;4.6;63;13;24;1.5;2
15650300;6;6;5.5;63;13;26;0;2
15650391;8;8;7.4;72;19;35;0;2
15650450;10;10;9.2;84;22;43;0;2
15650501;12;12;11;97;26;51;0;2
15650610;16;16;15;108;32;59;0;2
15650682;20;20;19;122;38;71;0;2
15657180;3;6;2.8;63;8;20;3.5;3
15657220;4;6;3.7;63;11;22;2.5;3
15657260;5;6;4.6;63;13;24;1.5;3
15657300;6;6;5.5;63;13;26;0;3
15657391;8;8;7.4;72;19;35;0;3
15657450;10;10;9.2;84;22;43;0;3
15657501;12;12;11;97;26;51;0;3
15657610;16;16;15;108;32;59;0;3
15657682;20;20;19;122;38;71;0;3
15659300;6;6;5.5;70;13;33;0;3
15659391;8;8;7.4;80;19;43;0;3
15659450;10;10;9.2;100;22;59;0;3
15659501;12;12;11;110;26;64;0;3
15659610;16;16;15;123;32;74;0;3
15659682;20;20;19;141;38;90;0;3
15660180;3;6;2.8;63;14;20;3.5;3
15660220;4;6;3.7;63;17;22;2.5;3
15660260;5;6;4.6;63;19;24;1.5;3
15660300;6;6;5.5;63;19;26;0;3
15660391;8;8;7.4;72;28;35;0;3
15660450;10;10;9.2;84;34;43;0;3
15660501;12;12;11;97;40;51;0;3
15660610;16;16;15;108;48;59;0;3
15660682;20;20;19;122;56;71;0;3
15661300;6;6;0;70;26;0;0;3
15661391;8;8;0;80;36;0;0;3
15661450;10;10;0;100;45;0;0;3
15661501;12;12;0;110;53;0;0;3
15661610;16;16;0;123;63;0;0;3
15661682;20;20;0;141;75;0;0;3
31410220;4;6;3.7;80;1.9;12;3.8;2
31410260;5;6;4.6;80;2.5;15;1.8;2
31410300;6;6;5.5;80;3;20;0;2
31410391;8;8;7.4;100;4;26;0;2
31410450;10;10;9.2;100;5;31;0;2
31410501;12;12;11;120;6;37;0;2
31420220;4;6;3.7;80;1.9;12;3.7;2
31420260;5;6;4.6;80;2.5;15;1.7;2
31420300;6;6;5.5;80;3;20;0;2
31420391;8;8;7.4;100;4;26;0;2
31420450;10;10;9.2;100;5;31;0;2
31420501;12;12;11;120;6;37;0;2
31700220;4;6;3.7;80;3.2;12;4;2
31700260;5;6;4.6;80;4;15;2;2
31700300;6;6;5.5;80;4.8;20;0;2
31700391;8;8;7.4;100;6.4;26;0;2
31700450;10;10;9.2;100;8;31;0;2
31700501;12;12;11;120;9.6;37;0;2
45709010;1;3;0;40;15;0;14.5;2
45709015;15;3;0;40;23;0;14.5;2
45709020;2;3;0;40;3;0;14.5;2
45709025;25;3;0;40;38;0;14;2
45709030;3;3;0;40;45;0;14;2
45709040;4;3;0;40;6;0;13.5;2
45709050;5;3;0;40;75;0;13;2
45709060;6;3;0;40;9;0;12.5;2
45709070;7;3;0;40;01.05;0;12.5;2
45709080;8;3;0;40;1.2;0;12;2
45709090;9;3;0;40;135;0;11.5;2
45709100;1;3;0;40;1.5;0;11;2
45709104;1.1;3;0;40;165;0;10.5;2
45709108;1.2;3;0;40;1.8;0;10;2
45709112;1.3;3;0;40;195;0;9.5;2
45709116;1.4;3;0;40;2.1;0;9;2
45709120;1.5;3;0;40;225;0;8.5;2
45709123;1.6;3;0;40;2.4;0;8;2
45709126;1.7;3;0;40;255;0;7.5;2
45709130;1.8;3;0;40;2.7;0;7;2
45709135;1.9;3;0;40;285;0;6.5;2
45709140;2;3;0;40;3;0;6;2
45709143;2.1;3;0;40;315;0;5.5;2
45709146;2.2;3;0;40;3.3;0;5;2
45709150;2.3;3;0;40;345;0;4.5;2
45709155;2.4;3;0;40;3.6;0;4;2
45709160;2.5;3;0;40;375;0;3;2
45709165;2.6;3;0;40;3.9;0;2.5;2
45709170;2.7;3;0;40;04.05;0;2;2
45709172;2.8;3;0;40;4.2;0;1.5;2
45709176;2.9;3;0;40;435;0;1;2
45713040;4;3;0;40;1.2;0;12.5;3
45713050;5;3;0;40;1.5;0;11.5;3
45713060;6;3;0;40;1.8;0;11;3
45713070;7;3;0;40;2.1;0;10.5;3
45713080;8;3;0;40;2.4;0;10;3
45713090;9;3;0;40;2.7;0;9;3
45713100;1;3;0;40;3;0;8.5;3
45713104;1.1;3;0;40;3.3;0;8;3
45713108;1.2;3;0;40;3.6;0;7.5;3
45713112;1.3;3;0;40;3.9;0;7;3
45713116;1.4;3;0;40;4.2;0;6.5;3
45713120;1.5;3;0;40;4.5;0;6;3
45713123;1.6;3;0;40;4.8;0;5.5;3
